place_id,lat,lng,name,location
45,37.63844548,-84.76318175,The Danville HS. ANCHOR,"Danville, KY"
46,37.63844548,-84.76318175,The Danville HS. ANCHOR,"Danville, KY"
47,37.63844548,-84.76318175,The Danville HS. ANCHOR,"Danville, KY"
48,37.63844548,-84.76318175,The Danville HS. ANCHOR,"Danville, KY"
49,37.57652683,-77.53763198,Gumenick Quadrangle,"Richmond, VA"
50,37.57652683,-77.53763198,Gumenick Quadrangle,"Richmond, VA"
51,37.57652197,-77.53740133,Maryland Hall,"Richmond, VA"
52,37.57652197,-77.53740133,Maryland Hall,"Richmond, VA"
53,37.57628313,-77.53741093,Puryear Hall,"Richmond, VA"
54,37.57628313,-77.53741093,Puryear Hall,"Richmond, VA"
55,37.57491832,-77.53896608,E. Carlton Wilton Center,VA
56,37.57491832,-77.53896608,E. Carlton Wilton Center,VA
57,37.57458968,-77.53979262,Gottwald Center for the Sciences,VA
58,37.57986092,-77.53774457,Admissions,"Richmond, VA"
59,37.57957448,-77.5378608,Robins Hall,"Richmond, VA"
60,37.579134,-77.53840665,Dennis Hall,"Richmond, VA"
61,37.57887843,-77.53931727,Moore Hall,"Richmond, VA"
62,37.5768891,-77.53761043,Virginia Baptist Historical Society ,"Richmond, VA"
63,37.57736812,-77.5374924,Ryland Hall,"Richmond, VA"
64,37.57849432,-77.53593635,School of Law,"Richmond, VA"
65,37.57769965,-77.53793438,Weinstein Hall,"Richmond, VA"
66,37.57774268,-77.53803905,The Garden of Five Lions,"Richmond, VA"
67,37.57815798,-77.5386827,Whitehurst,"Richmond, VA"
68,37.57838165,-77.53888202,Freeman Hall,"Richmond, VA"
69,37.57875622,-77.53835715,Jeter Hall,"Richmond, VA"
70,37.57826488,-77.53916668,Wood Hall,"Richmond, VA"
71,37.57801753,-77.53942063,Thomas Hall,"Richmond, VA"
72,37.57828713,-77.53993335,Lakeview Hall,"Richmond, VA"
73,37.5785127,-77.53976277,Marsh Hall,"Richmond, VA"
74,37.5782448,-77.5422082,The Gazebo,VA
75,40.7095397,-89.59914017,Party Show,"Peoria, IL"
76,37.57669998,-77.53792703,Boatwright Tower,"Richmond, VA"
77,46.90446177,-123.0485791,Mima Mounds - Viewing Platform,"Olympia, WA"
78,39.68922383,-75.52019119,Delaware Memorial Bridge,"New Castle, DE"
79,37.77672242,-84.85455985,Mercer Schools Sports Complex,null
80,38.05576177,-85.5336816,Mike Egan football field Bullitt East HS,"Mount Washington, KY"
81,38.05576177,-85.5336816,Mike Egan football field Bullitt East HS,"Mount Washington, KY"
82,48.22664678,-121.462805,Mt. Pugh View,"Darrington, WA"
83,52.34957737,-114.1394218,Sylvan Lake,Lacombe
84,33.2764758,-84.2905547,Best Western,null
85,52.93840385,-9.391619833,Joseph McHugh,Liscannor
86,37.10667358,-113.5801429,College Inn Dixie College of Utah,"St. George, UT"
87,38.29860246,-111.4194959,Affordable Inn,"Torrey, UT"
88,38.99312237,-110.1417958,Tamarisk,null
89,30.6048643,-96.32035162,Ralphies,"College Station, TX"
90,37.98173792,-112.7387314,Rest Stop,null
91,37.98173792,-112.7387314,Rest Stop,null
92,37.98173792,-112.7387314,Rest Stop,null
93,47.61185938,-122.342475,Zig Zag Cafe,"Seattle, WA"
94,37.98032235,-84.41136707,E J Hayes Middle School,"Lexington, KY"
95,38.36034348,-85.37538242,East Oldham Middle School,"Ballardsville, KY"
96,38.36034348,-85.37538242,East Oldham Middle School,"Ballardsville, KY"
97,38.36034348,-85.37538242,East Oldham Middle School,"Ballardsville, KY"
98,38.19904815,-84.5575734,Georgetown Middle School,"Georgetown, KY"
99,42.46492337,-83.88288692,declanon home,null
100,37.9288458,-84.466067,Family Worship Center,null
101,33.9761609,-118.3598212,7 Eleven,"Inglewood, CA"
102,51.06487362,0.579475164,The Parish Church of St George,Benenden
103,51.06614455,0.580301285,Benenden Village Green,Benenden
104,51.06563772,0.579561517,Benenden Church of England Primary School,Benenden
105,42.01644913,-74.07405195,Zena School,"St. Remy, NY"
106,51.0382971,0.497503167,Wealden Advertiser,Hawkhurst
107,50.89307678,0.541578717,Bannatyne's Health Club,null
108,51.05001429,0.509721637,Kristel Fireplaces,Hawkhurst
109,51.15529423,0.552615517,Roberts Country Vehicles LTD (RCV),Staplehurst
110,51.15524672,0.552642833,Total Petrol Station,Staplehurst
111,51.01323698,0.615186017,Newenden Bridge,Sandhurst
112,42.05557963,-71.8623216,The Lic's Restaurant,"Webster, MA"
113,51.02743467,0.561552883,The New Swan,Sandhurst
114,51.02571892,0.56676075,Independent\\u00a0General\\u00a0Store,Sandhurst
115,51.02712773,0.56277515,Sandhurst Tea Rooms,Sandhurst
116,51.0082599,0.613761683,The Station House,Northiam
117,51.02563698,0.5671863,Jet Petrol Station,Sandhurst
118,51.04249262,0.5079965,The Kent Cricketer,Hawkhurst
119,51.03991292,0.503988783,Spar,Hawkhurst
120,42.45276275,-83.07935193,Red Lobster,"Warren, MI"
121,40.79479434,-74.12854911,Jim Dandy,null
122,50.89505698,0.538397983,Beauport Park Golf Course,null
123,51.0152168,0.613922967,The White Hart,Newenden
124,51.04107537,0.698687517,Chapel Down,null
125,51.04107832,0.69825555,Richard Philips Chapel Down,null
126,51.04107678,0.698341133,Chapel Down Shop,null
127,51.06600357,0.666069,C B Motors (Kent) LTD,St. Michaels
128,51.06602062,0.666154017,Esso,St. Michaels
129,10.71751725,122.5597658,sawasdee,Iloilo City
130,51.61230058,-2.199808359,Jack Hare's Bar,Westonbirt
131,45.7461428,-87.0824838,Hiawatha Motel,"Escanaba, MI"
132,-33.72381753,150.4540877,Selwood's Science & Puzzles,"Hazelbrook, New South Wales"
133,35.18555745,-84.87424167,Living Word Church,"Cleveland, TN"
134,46.46371132,-84.37604135,Arby's,"Sault Ste. Marie, MI"
135,51.17086222,0.546961517,Aaron Services,Staplehurst
136,51.17025485,0.548480767,United Balloon and Gas,Staplehurst
137,51.1625465,0.552843117,Staplehurst Village Centre,Staplehurst
138,51.10921247,0.547140983,Shell Petrol Station,Cranbrook
139,41.93509992,-87.66225923,Al\\u00fa Salon,"Chicago, IL"
140,51.13453347,0.504744517,Blantyre House Prison,Goudhurst
141,51.09794297,0.53602335,Cranbrook Clinic,Cranbrook
142,51.08534442,0.512562867,Heartlydyke Farm Shop,Cranbrook
143,51.08506988,0.5124022,More Ideas Design,Cranbrook
144,51.0849815,0.512285717,Iroko Design,Cranbrook
145,51.08492615,0.512175533,Wealden Pools & Spas,Cranbrook
146,51.08499727,0.51257435,Car Smart,Cranbrook
147,51.06781105,0.578011783,The Village Shop,Benenden
148,51.06730595,0.5793188,King William IV,Benenden
149,35.48031895,-80.87780623,Cornelius Post Office,"Cornelius, NC"
150,11.60651068,122.7296983,Baybay Roxas City,Roxas City
151,38.44177673,-105.2382853,The Owl Cigar Store,"Canon City, CO"
152,51.05350112,0.517255962,Hawkhurst Trade Centre,Hawkhurst
153,51.05368321,0.517465174,Hawkhurst Salvage,Hawkhurst
154,53.21592963,6.500078567,Square Drankenstore,Groningen
155,53.3086486,-6.369808217,Home,Lucan
156,47.45093118,8.562726975,ZRH Zurich Airport,Kloten
157,51.11829675,0.55536747,Cranbrook Car Sales,Cranbrook
158,51.1184769,0.555372834,Cranbrook Service Station,Cranbrook
159,51.11850047,0.555488169,Murco,Cranbrook
160,51.11852909,0.555386245,Cranbrook Cycle Centre,Cranbrook
161,51.11858297,0.55539161,Cranbrook Exhaust and Tyre Centre,Cranbrook
162,51.11863685,0.554975867,In Touch Installations,Cranbrook
163,51.11847185,0.554924905,BGH Geartech,Cranbrook
164,51.11846007,0.554922223,Cranbrook Kitcars,Cranbrook
165,51.1184045,0.554900765,Wood By Design,Cranbrook
166,51.11878333,0.555024147,Splash 'n' Dash,Cranbrook
167,51.11888603,0.555067062,Country Cars (Kent) LTD,Cranbrook
168,51.06190517,0.506744385,Station Garage Village Shop,Hawkhurst
169,50.98626202,0.60591265,Badgers Oak Vetinary Clinic,Northiam
170,11.6066651,122.729578,Yuki's Restaurant,Roxas City
171,50.73967027,-3.31910065,"St Michael's Church, West Hill",null
172,18.97524918,-99.26369845,Jard\\u00edn Del Jaguar,"Cuernavaca, Morelos"
173,42.71242445,-78.97241552,Graycliff Estate,"Derby, NY"
174,32.19056568,-100.0111112,Horse Hollow Wind Farm,"Ovalo, TX"
175,50.64256938,-3.396736433,House With The Orange Umbrella,null
176,51.04691805,0.514492017,Ariva Bus Station,Hawkhurst
177,51.04199165,0.507564183,Maison Du Vin,Hawkhurst
178,51.0404208,0.505859256,Dragons,Hawkhurst
179,51.04023487,0.505550967,The Vicarage,Hawkhurst
180,51.03959272,0.5046013,Village Beakon,Hawkhurst
181,51.03933637,0.50434649,Hawkhurst Village Sign,Hawkhurst
182,51.04034908,0.503779267,The Dairy,Hawkhurst
183,51.0405576,0.50401945,Hillcrest,Hawkhurst
184,51.04908521,0.506266952,The Hexagon,Hawkhurst
185,51.04967353,0.50690495,Swlwyn House,Hawkhurst
186,51.0491857,0.50647305,Tylers,Hawkhurst
187,51.04869739,0.506473482,The Catholic Church of St. Barnabas,Hawkhurst
188,51.04852371,0.506822169,1 Oakfield Cottages,Hawkhurst
189,51.04848156,0.506886542,2 Oakfield Cottages,Hawkhurst
190,51.04820697,0.507745483,Crane House,Hawkhurst
191,51.04822023,0.508579133,The Mews Cottage,Hawkhurst
192,51.04814143,0.508823367,1 Northgrove Cottages,Hawkhurst
193,30.53181547,-90.54348943,Mrs. Heather's Pumpkin Patch,"Hammond, LA"
194,51.04799075,0.509603783,Hawkhurst Asylum,Hawkhurst
195,51.04808092,0.51071405,The Old Bazaar,Hawkhurst
196,51.04876653,0.51132828,The Old Public Toilets ,Hawkhurst
197,38.2537852,-85.6702609,The Patron,"Louisville, KY"
198,38.36239285,-96.51444845,1874 Stonehouse,KS
199,50.64716852,-3.416539317,The Saddlers Arms,Lympstone
200,52.50819612,-106.4170718,Saskatchewan River Valley Museum,Hague
201,35.48279943,-80.87345028,Napa Auto Parts,"Cornelius, NC"
202,41.89405785,-72.46052228,Hometown Pizza,"Ellington, CT"
203,43.03619692,-78.7501835,Dunkin' Donuts,null
204,35.4825832,-80.85973843,Food Lion,"Cornelius, NC"
205,35.48259992,-80.85971653,NY Restaurant,"Cornelius, NC"
206,35.48335365,-80.85939328,Bellacino's,"Cornelius, NC"
207,19.48428333,-99.20246601,Deportivo Salvador Benavides,null
208,36.5627002,-87.31126503,Casa Blanca ,"Clarksville, TN"
209,43.20476523,-77.47787628,It's A Guy Thing! A Mens Salon.,"Webster, NY"
210,43.20476523,-77.47787628,It's A Guy Thing! A Mens Salon.,"Webster, NY"
211,37.53414665,-120.882394,Alex,"Turlock, CA"
212,35.72987526,-81.34442144,"Alex Lee, Inc.","Hickory, NC"
213,35.72987526,-81.34442144,"Alex Lee, Inc.","Hickory, NC"
214,43.99870082,-88.53932033,Hughes' Home Maid Chocolates,"Oshkosh, WI"
215,43.99870082,-88.53932033,Hughes' Home Maid Chocolates,"Oshkosh, WI"
216,38.04208693,-83.94074005,McNabb Middle School,"Mount Sterling, KY"
217,38.04208693,-83.94074005,McNabb Middle School,"Mount Sterling, KY"
218,35.07361268,-106.6867048,Holy Family Franciscan Friary,"Albuquerque, NM"
219,35.07361268,-106.6867048,Holy Family Franciscan Friary,"Albuquerque, NM"
220,39.8072445,-75.74795972,Hilltop Crab House,"Avondale, PA"
221,39.8072445,-75.74795972,Hilltop Crab House,"Avondale, PA"
222,41.97226982,-87.71194696,Anderson Hall,"Chicago, IL"
223,41.97226982,-87.71194696,Anderson Hall,"Chicago, IL"
224,43.11158091,-77.54919112,Pare,"Rochester, NY"
225,43.11158091,-77.54919112,Pare,"Rochester, NY"
226,-38.16890735,144.3731507,Lost For Words Stand,"Geelong, Victoria"
227,40.70759486,-73.69280515,Martino's Pizza & Restaurant,"Elmont, NY"
228,47.62370728,-122.3258069,Lorelei Apartments,"Seattle, WA"
229,41.96876262,-87.7170844,Jimmy's Fast Food,"Chicago, IL"
230,41.96876262,-87.7170844,Jimmy's Fast Food,"Chicago, IL"
231,41.96849045,-87.71723075,Seo Hae Restaurant,"Chicago, IL"
232,41.96849045,-87.71723075,Seo Hae Restaurant,"Chicago, IL"
233,41.9702436,-87.7160283,Bethany Presbyterian Church,"Chicago, IL"
234,41.9702436,-87.7160283,Bethany Presbyterian Church,"Chicago, IL"
235,41.9701768,-87.71378037,Albany Park Community Center,"Chicago, IL"
236,41.97111587,-87.71354608,Alliance Holiness Church,"Chicago, IL"
237,41.97111587,-87.71354608,Alliance Holiness Church,"Chicago, IL"
238,41.97317035,-87.71728055,The First Temple Of Univeral Law,"Chicago, IL"
239,41.97317035,-87.71728055,The First Temple Of Univeral Law,"Chicago, IL"
240,41.97175667,-87.72454752,Volta Elementary School,"Chicago, IL"
241,41.9683766,-87.72447122,Mayan Sol,"Chicago, IL"
242,33.39312312,-84.7607685,Tokyo Japanese Steak House,"Raymond, GA"
243,41.97484113,-87.71082477,Hanson Hall,"Chicago, IL"
244,51.1304798,0.487671197,The Wagon Lodge,Goudhurst
245,41.97318337,-87.71056544,Java Haus ,"Chicago, IL"
246,25.03021045,121.5285669,Vinyl,Taipei City
247,27.3608127,-82.52464305,North Sarasota Library,"Sarasota, FL"
248,41.96864813,-87.7165552,Markellos Bakery,"Chicago, IL"
249,41.9682716,-87.71686337,Q. Stop,"Chicago, IL"
250,38.55482572,-109.5338361,Rim Tours HQ,"Castle Valley, UT"
251,51.89743635,-8.474965096,Pizza D'Italia,Cork
252,41.93755438,-87.66826451,Paris Nails,"Chicago, IL"
253,41.93546335,-87.66395688,Athenaeum,"Chicago, IL"
254,41.62695957,-86.2384057,Blockbuster,"South Bend, IN"
255,53.17731272,-6.526190733,Blessington ,Blessington
256,38.20557352,-94.8117441,Shalom Retreat Center,"Kansas, IL"
257,41.96516967,-87.68854993,A&A Floral Arts ,"Chicago, IL"
258,35.78365903,-86.91453159,Moe Better BBQ,TN
259,55.39404775,13.15642834,Hemma,Trelleborg
260,51.77767567,-0.740361617,High Moors,Halton
261,40.82193953,-73.9925185,Blockbuster Video,"Fairview, NJ"
262,53.33458598,6.51625915,C1000,Winsum
263,51.91695352,-8.4730334,Costa,Cork
264,51.77778072,-0.72903215,"St George's Church, RAF Halton",null
265,51.77397698,-0.72850045,Cherry Tree Day Nursery,Halton
266,51.76938572,-0.726688733,Princess Mary Gate,null
267,35.87147555,-78.87839815,Durham County Wildlife Club,"Durham, NC"
268,19.42456687,-99.12931681,Hospital Juarez,null
269,51.77911803,-0.74476485,"Grand Union Canal, Wendover Arm",null
270,51.17022701,0.552618206,Mama Mia's,Staplehurst
271,51.16988393,0.552706718,KM Messenger's Newsagents,Staplehurst
272,32.89360623,-79.92481855,Atlantic Intermodal,"Wando, SC"
273,32.89359225,-79.924886,Atlantic Intermodal,"Wando, SC"
274,39.52985385,-87.09830243,The Freeze,"Brazil, IN"
275,50.74754438,7.177713086,Haralds Home,Bonn
276,52.27724336,-0.877844095,Northampton Science Park,Moulton Park
277,34.72844942,-82.3896597,Wendy's,"Piedmont, SC"
278,34.4541317,-82.40533805,Honea Path EMS,"Honea Path, SC"
279,35.76676941,-81.30384064,Goodman And Brooks Family Medicine,"Hickory, NC"
280,19.26490402,-99.1717361,Hotel K20,Tlalpan
281,34.75692252,-82.21089083,Mumsie's,"Simpsonville, SC"
282,49.90914629,8.849433661,China Imbiss Hopsing,Dieburg
283,42.69617305,-71.12607837,Stevens Memorial Library,"North Andover, MA"
284,53.61856857,9.9509115,Jas Steakhouse,Hamburg
285,35.7916373,-78.6610794,Supercuts,"Raleigh, NC"
286,53.62272437,9.951595567,Ristorante Il Porcino,Hamburg
287,53.62185165,9.952351033,Haspa,Hamburg
288,53.62118082,9.952096167,Edeka,Hamburg
289,41.82489332,-71.44896663,Mexico Restaurant,"Providence, RI"
290,19.03181687,-98.22379585,Superama,"Puebla, Puebla"
291,40.55997403,-74.16663051,Mo's,"New York, NY"
292,51.57563673,-0.795699283,The Royal Oak - Bovington Green,null
293,51.7159658,-1.967563517,Costa Coffee,Cirencester
294,21.3066171,-157.7976537,Wa'ahila Ridge and State Park,"Honolulu, HI"
295,35.48095292,-80.85808468,Cashion's,"Cornelius, NC"
296,-38.18454943,144.53766,Leura Park Winery,"Curlewis, Victoria"
297,41.48358237,-74.27123878,Thomas Bull Memorial Park,"Montgomery, NY"
298,42.28771032,-88.05354778,The Chapel Mundelein Campus,IL
299,43.11729823,-77.62193799,Pontillo's Pizzeria,"Rochester, NY"
300,40.56288386,-105.0478095,Larimer County Veterans Memorial,"Fort Collins, CO"
301,35.89829342,-78.89789585,Regency Cleaners,"Durham, NC"
302,29.81053807,-95.72155612,Home,"Katy, TX"
303,50.8016224,-0.042014122,Lido Fitness Centre,Saltdean
304,50.80170377,-0.041901469,The White Room,Saltdean
305,50.80178853,-0.041880012,Saltdean Library and Community Centre,Saltdean
306,50.8013749,-0.042116046,Saltdean Lido,Saltdean
307,50.89689907,0.069868863,The Green Man,Ringmer
308,59.33954204,18.02934766,Karlberg,Stockholm
309,35.38455946,-80.78566125,Kids Super Salon,"Charlotte, NC"
310,38.04481735,-83.94256827,Montgomery Co HS New Gym,"Mount Sterling, KY"
311,39.04275902,-77.45590977,Weller Elementary School,"Ashburn, VA"
312,18.46064707,-66.26602147,Banco Popular,Dorado
313,18.45998934,-66.26217127,Anfiteatro \\u00c1ngel Hern\\u00e1ndez,Dorado
314,-37.92104495,145.1365651,Nando's,"Melbourne, Victoria"
315,41.58447,-93.634912,Lava Row Camp: What's Next?,"Des Moines, IA"
316,53.61832777,9.950515233,Hypovereinsbank,Hamburg
317,53.61832777,9.950515233,Davini,Hamburg
318,29.79932368,-95.4686522,Hanley Bros,"Houston, TX"
319,35.34843877,-99.17021033,BF Hardware,"Burns Flat, OK"
320,36.84409097,-76.13605082,Smokey Joes,"Virginia Beach, VA"
321,37.76168849,-122.4349236,Gelateria Naia,"San Francisco, CA"
322,35.62165821,139.6093306,Tenjinmori Bridge Bus Stop,null
323,41.034935,-73.6924086,Pepsi-Cola,NY
324,35.46702873,-80.87151597,Al's Auto Repair,"Cornelius, NC"
325,35.41437672,-80.85667038,Auto Zone,"Huntersville, NC"
326,35.41814658,-80.85694988,Seed Planters Supply,"Huntersville, NC"
327,53.61741682,9.950425033,Konditorei Cafe Meyer,Hamburg
328,31.44746947,-91.71709003,Taunton's,LA
329,31.46029868,-91.65373707,Pud's,LA
330,30.60388005,-90.99680543,Indian Mound Grocery,LA
331,35.23449093,-97.48483966,Target Supercenter,"Norman, OK"
332,41.66287018,-87.65321755,Wingz It Iz,IL
333,36.77019198,-76.22415568,Passion the Restaurant,"Chesapeake, VA"
334,51.89724875,-8.4811377,KINO,Cork
335,19.33084122,-99.2591219,Iglesia San Fco De Asis,null
336,33.09479883,-116.6458516,Jeremy's On The Hill,"Julian, CA"
337,39.0447595,-77.48130107,Mills Playground,"Ashburn, VA"
338,42.27636505,-83.77782993,Taco Bell,"Ann Arbor, MI"
339,29.67697945,-95.59708068,Popeyes,"Houston, TX"
340,45.69361319,-122.6395547,Gaiser Middle School,"Vancouver, WA"
341,45.69570399,-122.6487279,Sarah J. Anderson Elementary School,"Vancouver, WA"
342,45.71922944,-122.6540494,Salmon Creek Park & Ride,"Vancouver, WA"
343,45.71890735,-122.6591831,Clark County Fire District 6,"Vancouver, WA"
344,33.02709208,-96.64394438,Cottonwood Park,"Plano, TX"
345,33.0326013,-96.64953,Northeast Bible Church,"Plano, TX"
346,45.68476203,-122.6258942,Cliff's Tavern,"Vancouver, WA"
347,54.68705208,-5.883382559,CIES (CETL Institutional E-learning Services),null
348,45.73244131,-122.6372802,Student Services Center,"Vancouver, WA"
349,35.74319628,-78.7511257,greenway,"Cary, NC"
350,45.73240387,-122.6368484,The Bookie,"Vancouver, WA"
351,45.73094633,-122.636847,Firstenburg Family Fountain,"Vancouver, WA"
352,45.73146775,-122.6369852,Classroom Building,"Vancouver, WA"
353,45.73085365,-122.6378703,Administration Building,"Vancouver, WA"
354,45.73056158,-122.6380312,McClaskey Building,"Vancouver, WA"
355,45.73068141,-122.6366419,Multimedia Classroom Building,"Vancouver, WA"
356,45.73038184,-122.6358533,Undergraduate Classroom Building,"Vancouver, WA"
357,45.73104088,-122.6364434,Library Building,"Vancouver, WA"
358,45.73272214,-122.6360384,Engineering & Life Sciences Building,"Vancouver, WA"
359,45.73337928,-122.6355502,Clark College at WSU Vancouver,"Vancouver, WA"
360,45.69922126,-122.6527995,Lyle's Village Pantry,"Vancouver, WA"
361,38.52952238,-84.80928577,Owen Co High School,"Owenton, KY"
362,39.16994675,-84.40815898,Fifth Third MOC,"Cincinnati, OH"
363,-43.53395535,172.6430078,LeftClick,Christchurch
364,-43.53395535,172.6430078,Supreme Coffee,Christchurch
365,37.1622171,-94.53831767,Missouri Fit Club,"Carl Junction, MO"
366,39.66345502,-84.12911037,Cardinal Fitness,"Dayton, OH"
367,35.30181013,-98.98791043,Rio's Restaurante,"New Cordell, OK"
368,45.69000095,-122.62079,Grace Baptist Church,"Vancouver, WA"
369,36.3568434,-119.6512831,Figaro's,"Hanford, CA"
370,-33.04196328,-71.6263623,La Pastis,Valparaiso
371,36.13165768,-86.79567773,Taboulis,"Nashville, TN"
372,42.22850367,-83.6436687,Speedway,"Ypsilanti, MI"
373,21.29133369,-157.8607678,John Dominis,"Honolulu, HI"
374,59.3386682,17.98354113,Hallebergsv\\u00e4gen 27,Stockholm
375,39.75503702,-74.22150285,Elizabeth V. Edwards School,"Barnegat, NJ"
376,29.93666118,-90.10431757,Dr. Brobson Lutz,"New Orleans, LA"
377,18.21140902,-67.14142203,Banco Popular,null
378,40.19263515,-105.0544215,Cattle Pins,"Longmont, CO"
379,40.82939,-74.20546,CRUSH IT! with @GaryVee,"Montclair, NJ"
380,51.06861889,0.689099729,Shelly's Tea Rooms,St. Michaels
381,51.06838124,0.687941015,Caf\\u00e9 Rouge,St. Michaels
382,51.0682582,0.687141717,Waterstone's,St. Michaels
383,51.06839135,0.687890053,The Lemon Tree,St. Michaels
384,51.06875541,0.688241422,Laura Ashley,St. Michaels
385,40.3645903,-105.5412644,Scot's Sporting Goods,"Estes Park, CO"
386,37.08997618,-94.53040573,Casey's,"Joplin, MO"
387,40.59177775,-74.10093787,Four Corners Vet,"New York, NY"
388,44.4273478,-72.01771777,Holiday Motel,"St. Johnsbury, VT"
389,35.21913495,-97.40819762,Lebanese Hafla,"Norman, OK"
390,51.19452585,4.419747733,Hairtalk,Antwerp
391,59.31776209,18.03234075,D\\u00e4rmedpasta,Stockholm
392,30.30286162,-89.77248792,"Negril, Jamaica","Slidell, LA"
393,30.30286162,-89.77248792,Pizza Hut,"Slidell, LA"
394,45.58151623,-73.32875353,Quilles Saint-Julie,Ste.-Julie
395,51.13184824,9.269435406,Grauer Turm,Fritzlar
396,27.49733516,-82.57367665,Om Gaia,"Bradenton, FL"
397,32.4176822,-90.02113581,Fanning Landing,"Brandon, MS"
398,19.22764223,-99.25089705,Caba\\u00f1a Chayito ,Mexico City
399,42.9320368,-77.31612325,Route 332 Self Storage,"Canandaigua, NY"
400,42.96444295,-77.34768212,Hess,NY
401,40.93990183,-72.99224873,On The Couch,"Miller Place, NY"
402,45.69192701,-122.656914,Super Taco Express,"Vancouver, WA"
403,45.69203193,-122.6568764,El Compadre Market,"Vancouver, WA"
404,45.69324598,-122.6651242,Luciano's,"Vancouver, WA"
405,41.79999925,-72.71407485,Lincoln Theater,"Hartford, CT"
406,41.79900748,-72.71132827,Public Safety,"Hartford, CT"
407,19.26221109,-99.17425454,Hotel Xol-ha,Tlalpan
408,60.20612617,25.14545202,Cirrus,Helsinki
409,60.20894079,25.14347792,Vuotalo,Helsinki
410,35.82744162,-78.6330569,Bufano & Bufano,"Raleigh, NC"
411,45.73170272,-122.6363173,Golden Section,"Vancouver, WA"
412,51.6655015,-3.142830417,Newbridge Train Station,Newbridge
413,37.09028897,-94.52715325,City Of Joplin Public Works Center,"Joplin, MO"
414,38.25751362,-85.51101187,Jeffersontown High School gym,"Middletown, KY"
415,59.33654084,18.02574897,Alstr\\u00f6mergatan 51,Stockholm
416,36.90923816,-121.7558588,2nd Street Cafe,"Pajaro, CA"
417,40.82732947,-73.20175615,Chase,NY
418,40.01739957,-105.2874965,Home,"Boulder, CO"
419,33.61425915,-91.80784442,Monticello High School Track,"Monticello, AR"
420,57.70439946,11.96472287,Kungsportplatsen,Gothenburg
421,59.31621733,18.03378399,Dragon Palace,Stockholm
422,51.02193717,7.0854608,"Hotel-Restaurant \Haus Pohle\""""",Bergisch Gladbach
423,29.86662379,-95.53819299,Rudy's Bbq,"Jersey Village, TX"
424,53.58431262,9.982615033,Feen Apotheke,Hamburg
425,50.81364482,7.156771767,Orthop\\u00e4die K\\u00fchnreich,Troisdorf
426,51.23582477,-0.204663277,Richer Sounds,null
427,50.97764904,6.893556118,Bildungszentrum Butzweilerhof,Cologne
