id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories
16,2009-01-08T18:07:58Z,-94.60558623,39.05721718,1,141,64,75,0,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]"
17,2009-01-11T00:57:58Z,-94.60146903,39.0498197,0,110,44,75,0,6,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]"
18,2009-01-11T01:02:30Z,-94.5906329,39.05163287,6,123,68,75,0,10,10,"[{'url': '/categories/18', 'name': 'Asian'}]"
19,2009-01-12T14:46:23Z,-94.7140789,39.29674568,103,4525,1718,1500,8,10,10,"[{'url': '/categories/45', 'name': 'Airport'}]"
20,2009-01-13T19:12:29Z,-97.12970853,32.94531936,3,323,177,150,2,12,10,"[{'url': '/categories/15', 'name': 'Mexican'}]"
21,2009-01-15T00:46:27Z,-97.13064194,32.9429604,5,188,97,75,0,10,10,"[{'url': '/categories/926', 'name': 'Thai'}]"
22,2009-01-15T03:51:13Z,-96.81034327,32.79050348,393,3735,1937,250,12,11,10,"[{'url': '/categories/79', 'name': 'Stadium'}]"
23,2009-01-16T00:40:56Z,-97.18993946,32.85315088,5,241,87,75,0,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]"
24,2009-01-17T20:21:49Z,-94.6036148,39.05036687,0,52,25,75,0,10,10,"[{'url': '/categories/83', 'name': 'Middle Eastern'}]"
25,2009-01-17T20:25:08Z,-94.60397958,39.05277013,0,56,18,35,0,10,10,"[{'url': '/categories/21', 'name': 'Home'}]"
26,2009-01-17T23:05:30Z,-96.77518487,32.83807639,32,1047,557,150,0,10,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]"
27,2009-01-20T18:16:30Z,-97.12843178,32.9415071,2,158,103,75,1,10,10,"[{'url': '/categories/101', 'name': 'Sandwich Shop'}]"
28,2009-01-21T18:14:45Z,-97.1552968,32.93519881,8,251,84,100,1,11,10,"[{'url': '/categories/17', 'name': 'BBQ'}]"
29,2009-01-22T00:55:02Z,-94.57765102,39.00070308,11,119,24,35,0,10,10,"[{'url': '/categories/21', 'name': 'Home'}]"
30,2009-01-23T23:37:54Z,-97.30627298,32.91421293,1,98,39,75,0,10,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]"
31,2009-01-24T16:43:09Z,-97.09639548,32.77581095,0,44,22,75,0,5,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
32,2009-01-25T03:41:11Z,-94.5935297,39.09294962,4,76,53,75,1,5,10,"[{'url': '/categories/16', 'name': 'American'}]"
33,2009-01-30T23:52:45Z,-97.14853763,32.88854955,0,29,25,75,0,6,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
34,2009-01-31T01:51:14Z,-97.18660623,32.84445162,4,268,80,50,14,10,10,"[{'url': '/categories/449', 'name': ""Dunkin' Donuts""}]"
35,2009-01-31T19:03:28Z,-94.60485935,39.05715822,0,41,26,75,0,10,10,"[{'url': '/categories/64', 'name': 'Other - Food '}]"
36,2009-01-31T19:15:22Z,-94.60571765,39.05723333,1,71,45,75,0,10,10,"[{'url': '/categories/16', 'name': 'American'}]"
37,2009-01-31T19:18:11Z,-94.60621118,39.0572226,7,122,81,75,2,10,10,"[{'url': '/categories/19', 'name': 'Italian'}]"
38,2009-01-31T19:24:54Z,-94.60438727,39.05726552,0,50,30,75,0,6,10,"[{'url': '/categories/83', 'name': 'Middle Eastern'}]"
39,2009-01-31T19:35:41Z,-94.60191965,39.05944347,0,16,11,75,0,8,10,"[{'url': '/categories/37', 'name': 'Playground'}]"
40,2009-01-31T19:55:38Z,-94.60301398,39.06285523,0,21,14,75,0,8,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
41,2009-02-01T20:44:58Z,-97.09676027,32.75676727,7,138,76,75,0,7,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
42,2009-02-01T21:47:02Z,-94.60619509,39.05715678,5,100,63,75,0,10,10,"[{'url': '/categories/18', 'name': 'Asian'}]"
43,2009-02-01T22:29:53Z,-97.13079213,32.6793909,6,118,75,100,0,10,10,"[{'url': '/categories/460', 'name': 'Barnes & Noble'}]"
44,2009-02-02T21:18:24Z,-105.4095054,36.70978377,0,15,12,75,0,3,10,"[{'url': '/categories/16', 'name': 'American'}]"
45,2009-02-03T07:53:05Z,-111.6566384,40.58112246,10,35,29,50,1,4,10,"[{'url': '/categories/219', 'name': 'Gondola'}]"
46,2009-02-04T05:16:47Z,-97.13045418,32.94381125,43,1918,432,50,3,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]"
47,2009-02-04T05:22:20Z,-97.12879657,32.94494032,0,113,69,75,0,10,10,"[{'url': '/categories/16', 'name': 'American'}]"
48,2009-02-04T18:11:14Z,-122.405827,37.80236256,116,785,706,50,14,10,10,"[{'url': '/categories/166', 'name': 'Historic Landmark'}]"
49,2009-02-04T18:17:06Z,-122.4495149,37.7984672,0,342,178,50,0,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
50,2009-02-04T18:22:06Z,-122.3982525,37.79803484,6,398,195,75,1,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
51,2009-02-05T17:04:58Z,-122.4031556,37.79536432,53,706,556,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
52,2009-02-05T19:25:20Z,-97.13092088,32.9392755,49,878,320,150,2,10,10,"[{'url': '/categories/106', 'name': 'Grocery'}]"
53,2009-02-05T20:24:08Z,-96.80000067,32.79441776,40,1392,283,50,1,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
54,2009-02-06T02:24:54Z,-94.59140538,39.05279158,2,94,52,50,0,8,10,"[{'url': '/categories/16', 'name': 'American'}]"
55,2009-02-06T06:29:02Z,-122.1630764,37.44407671,2,215,166,100,0,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
56,2009-02-06T18:11:22Z,-97.11781023,32.94138908,11,292,139,75,0,11,10,"[{'url': '/categories/101', 'name': 'Sandwich Shop'}]"
57,2009-02-07T00:51:54Z,-122.2677469,37.87180423,2,222,203,75,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
58,2009-02-07T01:03:27Z,-97.24138497,32.93387888,0,25,17,75,0,4,10,"[{'url': '/categories/18', 'name': 'Asian'}]"
59,2009-02-07T01:47:24Z,-122.3937249,37.79533889,114,2654,1659,100,14,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
60,2009-02-07T01:57:53Z,-122.4076885,37.78469826,39,1161,814,50,5,10,10,"[{'url': '/categories/57', 'name': 'Other - Travel & Lodging'}]"
61,2009-02-07T16:40:03Z,-97.3576641,32.7232182,12,304,282,100,0,11,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
62,2009-02-07T16:42:33Z,-97.35798597,32.72270322,15,300,287,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
63,2009-02-07T16:45:52Z,-97.3579645,32.72235988,9,296,285,100,0,10,10,"[{'url': '/categories/356', 'name': 'Primates'}]"
64,2009-02-07T16:51:56Z,-97.35721348,32.72269248,35,302,287,100,1,10,10,"[{'url': '/categories/356', 'name': 'Primates'}]"
65,2009-02-07T16:55:24Z,-97.3574066,32.72207022,12,300,287,100,0,10,10,"[{'url': '/categories/358', 'name': 'Zebras'}]"
66,2009-02-07T16:57:44Z,-97.3579645,32.72218823,10,293,286,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
67,2009-02-07T17:01:38Z,-97.35901593,32.72260665,16,292,279,100,0,10,10,"[{'url': '/categories/352', 'name': 'Giraffes'}]"
68,2009-02-07T17:05:13Z,-97.35854387,32.72251008,22,302,292,100,0,10,10,"[{'url': '/categories/351', 'name': 'Elephants'}]"
69,2009-02-07T17:11:19Z,-97.3583722,32.7214694,15,288,280,100,0,10,10,"[{'url': '/categories/357', 'name': 'Tigers'}]"
70,2009-02-07T17:15:55Z,-97.3574066,32.72153377,16,302,289,100,0,10,10,"[{'url': '/categories/354', 'name': 'Lions'}]"
71,2009-02-07T17:29:44Z,-97.35530375,32.7197206,14,280,271,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
72,2009-02-07T17:33:05Z,-97.35453128,32.71896958,2,270,265,100,0,10,10,"[{'url': '/categories/355', 'name': 'Reptiles'}]"
73,2009-02-07T18:12:55Z,-97.35210657,32.71698473,7,255,251,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
74,2009-02-07T18:19:57Z,-97.35268592,32.71757483,10,261,255,100,0,10,10,"[{'url': '/categories/349', 'name': 'Aviary'}]"
75,2009-02-07T18:23:47Z,-97.35242843,32.71770357,11,268,262,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
76,2009-02-07T18:28:32Z,-97.35285758,32.71790742,2,265,259,100,1,11,10,"[{'url': '/categories/355', 'name': 'Reptiles'}]"
77,2009-02-07T18:34:44Z,-122.395345,37.79557627,10,147,124,50,0,10,10,"[{'url': '/categories/150', 'name': 'Fountain'}]"
78,2009-02-07T18:41:24Z,-95.23929833,38.95739078,0,4,4,35,0,3,10,"[{'url': '/categories/21', 'name': 'Home'}]"
79,2009-02-07T18:43:55Z,-97.35637663,32.72144793,24,303,295,100,0,10,10,"[{'url': '/categories/355', 'name': 'Reptiles'}]"
80,2009-02-07T18:47:37Z,-97.35682725,32.72207022,8,293,286,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
81,2009-02-07T18:48:25Z,-95.24364352,38.95711453,0,27,15,75,0,4,10,"[{'url': '/categories/141', 'name': 'Hall'}]"
82,2009-02-07T18:48:39Z,-97.35665558,32.72243498,26,300,289,100,0,10,10,"[{'url': '/categories/359', 'name': 'Other - Zoo'}]"
83,2009-02-07T18:50:32Z,-95.2447915,38.95683288,2,31,17,100,0,4,10,"[{'url': '/categories/102', 'name': 'Library'}]"
84,2009-02-07T18:56:29Z,-95.24792432,38.95785212,1,38,22,150,1,2,10,"[{'url': '/categories/99', 'name': 'Beach'}]"
85,2009-02-07T18:57:56Z,-95.24769902,38.95850778,1,74,27,50,0,8,10,"[{'url': '/categories/135', 'name': 'Administration'}]"
86,2009-02-07T19:03:15Z,-95.24689435,38.95993352,7,47,35,75,0,8,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
87,2009-02-07T19:11:01Z,-95.25094985,38.95906448,0,22,12,75,0,3,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
88,2009-02-07T19:16:48Z,-95.25047778,38.95771265,0,6,5,75,0,2,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
89,2009-02-07T19:35:05Z,-95.25288105,38.95428622,10,288,132,200,4,10,10,"[{'url': '/categories/662', 'name': 'Arena'}]"
90,2009-02-07T19:57:59Z,-95.25846003,38.95633935,0,4,4,75,0,5,10,"[{'url': '/categories/139', 'name': 'Dormitory'}]"
91,2009-02-07T20:18:48Z,-122.3976195,37.79575007,2,85,66,100,0,9,10,"[{'url': '/categories/38', 'name': 'City Park'}]"
92,2009-02-07T20:37:07Z,-95.24637937,38.95756243,0,31,11,75,0,7,10,"[{'url': '/categories/141', 'name': 'Hall'}]"
93,2009-02-07T20:37:25Z,-97.22544192,32.85257577,0,49,29,150,0,7,10,"[{'url': '/categories/38', 'name': 'City Park'}]"
94,2009-02-07T20:41:58Z,-95.24341822,38.95849585,1,25,13,75,0,4,10,"[{'url': '/categories/59', 'name': 'Other - Art & Culture'}]"
95,2009-02-07T20:49:03Z,-122.405414,37.79467972,9,273,183,100,0,10,10,"[{'url': '/categories/38', 'name': 'City Park'}]"
96,2009-02-07T21:29:30Z,-122.4075329,37.7879542,147,2672,1789,100,17,10,10,"[{'url': '/categories/38', 'name': 'City Park'}]"
97,2009-02-07T22:06:43Z,-95.23447037,38.97046923,4,117,45,75,0,6,10,"[{'url': '/categories/96', 'name': 'Bookstore'}]"
98,2009-02-07T23:31:07Z,-122.4055776,37.79065042,63,987,838,50,5,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
99,2009-02-08T00:42:43Z,-96.78474425,32.82011032,32,629,342,75,3,10,10,"[{'url': '/categories/56', 'name': 'Other - Nightlife '}]"
100,2009-02-08T01:14:59Z,-122.2652793,37.87172832,0,40,25,100,0,5,10,"[{'url': '/categories/55', 'name': 'Other - Parks '}]"
101,2009-02-08T02:44:38Z,-122.267413,37.8698312,15,373,220,75,4,10,10,"[{'url': '/categories/155', 'name': 'Pizza'}]"
102,2009-02-08T17:13:13Z,-97.2375226,32.89964317,2,134,41,75,1,8,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
103,2009-02-08T18:09:16Z,-122.2692007,37.87791058,11,244,215,50,2,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
104,2009-02-08T22:19:54Z,-97.07736253,33.10872673,0,10,9,150,0,7,10,"[{'url': '/categories/39', 'name': 'Regional / State Park'}]"
105,2009-02-09T02:51:19Z,-122.2531517,37.85724456,23,171,112,75,0,10,10,"[{'url': '/categories/909', 'name': 'Ice Cream'}]"
106,2009-02-09T18:26:36Z,-97.13194013,32.94338808,16,389,211,50,1,10,10,"[{'url': '/categories/907', 'name': 'Five Guys Burgers and Fries'}]"
107,2009-02-09T19:00:38Z,-122.4157217,37.80832071,72,1467,1300,50,64,10,10,"[{'url': '/categories/58', 'name': 'Other - Entertainment'}]"
108,2009-02-09T19:08:26Z,-122.1832681,37.48000925,1,230,108,75,1,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
109,2009-02-09T19:58:45Z,-122.403402,37.788514,8,581,156,75,1,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
110,2009-02-09T20:17:00Z,-122.2660518,37.87051677,2,348,223,75,3,10,10,"[{'url': '/categories/433', 'name': 'Starbucks'}]"
111,2009-02-09T20:18:53Z,-122.2519112,37.87295635,32,1185,562,1750,37,10,10,"[{'url': '/categories/134', 'name': 'University'}]"
112,2009-02-09T20:23:41Z,-122.2668242,37.87241577,3,90,66,75,0,5,10,"[{'url': '/categories/81', 'name': 'South American / Latin'}]"
113,2009-02-09T20:30:09Z,-122.2687179,37.87374397,4,224,213,75,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
114,2009-02-09T20:32:57Z,-122.268852,37.87492114,4,188,182,75,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
115,2009-02-09T21:55:40Z,-122.2693375,37.87933116,2,205,195,75,0,11,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
116,2009-02-09T21:56:57Z,-122.2690867,37.87959579,7,147,125,75,1,10,10,"[{'url': '/categories/82', 'name': 'French'}]"
117,2009-02-09T22:10:20Z,-122.2676879,37.8766657,1,32,19,100,0,6,10,"[{'url': '/categories/55', 'name': 'Other - Parks '}]"
118,2009-02-09T22:17:57Z,-122.2663522,37.87340097,4,214,202,50,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
119,2009-02-09T23:43:59Z,-122.2682941,37.88027114,6,374,228,75,8,10,10,"[{'url': '/categories/439', 'name': ""Peet's Coffee""}]"
120,2009-02-10T19:10:06Z,-122.4064631,37.78456963,5,174,121,75,1,10,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]"
121,2009-02-10T19:28:28Z,-122.4298704,37.78506287,27,555,424,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
122,2009-02-10T22:02:54Z,-122.448442,37.80290086,92,777,661,300,5,10,10,"[{'url': '/categories/31', 'name': 'Performing Arts'}]"
123,2009-02-10T22:12:13Z,-122.4192381,37.77927137,66,900,696,150,15,10,10,"[{'url': '/categories/125', 'name': 'City Hall'}]"
124,2009-02-10T22:22:44Z,-122.4271774,37.75968887,166,1743,946,200,19,10,10,"[{'url': '/categories/38', 'name': 'City Park'}]"
125,2009-02-10T22:46:08Z,-122.4048615,37.80286073,9,461,448,35,0,10,10,"[{'url': '/categories/88', 'name': 'Victorian'}]"
126,2009-02-10T23:19:27Z,-122.4074578,37.80050038,13,474,450,50,6,10,10,"[{'url': '/categories/155', 'name': 'Pizza'}]"
127,2009-02-10T23:32:32Z,-122.4063528,37.79360088,6,130,123,50,0,9,10,"[{'url': '/categories/413', 'name': 'Other Sports'}]"
128,2009-02-11T01:12:06Z,-122.4262977,37.7643013,7,142,112,75,2,10,10,"[{'url': '/categories/69', 'name': 'Mission'}]"
129,2009-02-11T02:09:18Z,-122.2675967,37.87022089,3,195,86,75,1,10,10,"[{'url': '/categories/62', 'name': 'Toys & Games'}]"
130,2009-02-11T02:17:47Z,-122.265408,37.8747332,4,35,19,75,0,8,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
131,2009-02-11T17:58:39Z,-122.2129516,37.42105916,1,140,91,50,0,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
132,2009-02-11T21:57:58Z,-122.1614242,37.44483947,43,1517,486,50,6,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
133,2009-02-12T01:31:37Z,-122.1747762,37.44912672,12,268,193,50,0,10,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]"
134,2009-02-12T04:10:49Z,-122.443893,37.79303312,0,20,19,35,0,8,10,"[{'url': '/categories/21', 'name': 'Home'}]"
135,2009-02-13T04:51:37Z,-77.05016613,38.88926246,224,1507,1406,100,23,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
136,2009-02-13T04:53:52Z,-77.03654051,38.88134536,85,750,695,100,9,12,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
137,2009-02-13T04:55:43Z,-77.03525305,38.8894587,215,1757,1515,100,9,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
138,2009-02-13T04:58:24Z,-77.00909615,38.88980526,167,1422,1210,150,8,10,10,"[{'url': '/categories/156', 'name': 'Capitol'}]"
139,2009-02-13T05:07:28Z,-77.03659415,38.89763792,195,1603,1383,250,19,15,10,"[{'url': '/categories/166', 'name': 'Historic Landmark'}]"
140,2009-02-13T05:13:22Z,-77.03710914,38.89747301,6,65,59,35,2,10,10,"[{'url': '/categories/55', 'name': 'Other - Parks '}]"
141,2009-02-14T21:15:16Z,-94.59061145,39.0424168,3,117,52,50,0,10,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]"
142,2009-02-14T21:20:26Z,-94.58762883,39.04251337,14,270,155,50,2,10,10,"[{'url': '/categories/51', 'name': 'Sculpture'}]"
143,2009-02-14T21:23:46Z,-94.58839595,39.04205707,0,111,53,50,0,10,10,"[{'url': '/categories/146', 'name': 'Tower'}]"
144,2009-02-14T21:30:17Z,-94.59140538,39.04183745,16,926,284,150,1,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]"
145,2009-02-14T22:06:36Z,-77.87100792,38.99001717,1,3,2,75,0,4,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
146,2009-02-15T17:49:42Z,-77.04798818,38.89092844,74,884,840,250,7,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
147,2009-02-15T18:00:05Z,-77.0402956,38.88941287,115,1089,1007,125,4,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
148,2009-02-15T18:21:59Z,-77.02599943,38.88879898,21,355,324,75,1,10,10,"[{'url': '/categories/185', 'name': 'Castle'}]"
149,2009-02-15T19:02:57Z,-77.00443983,38.89063199,26,444,402,150,1,10,10,"[{'url': '/categories/126', 'name': 'Courthouse'}]"
150,2009-02-16T16:06:56Z,-97.04433918,32.89764181,44,1591,998,150,0,10,10,"[{'url': '/categories/224', 'name': 'Terminal'}]"
151,2009-02-18T04:45:03Z,-87.65583515,41.88919576,2,172,121,50,0,13,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
152,2009-02-18T18:29:01Z,-97.10413098,32.93882532,11,448,164,75,0,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]"
153,2009-02-23T22:54:51Z,-94.58099306,39.04468189,39,282,190,200,4,10,10,"[{'url': '/categories/50', 'name': 'Traditional Art Museum'}]"
154,2009-02-23T22:56:44Z,-94.58601952,39.08100686,37,171,145,50,4,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
155,2009-02-23T23:01:38Z,-94.55635428,39.09149976,16,153,136,75,3,10,10,"[{'url': '/categories/17', 'name': 'BBQ'}]"
156,2009-02-23T23:04:38Z,-94.58170652,39.10868268,18,309,199,75,1,10,10,"[{'url': '/categories/106', 'name': 'Grocery'}]"
157,2009-02-24T16:14:05Z,-97.1176441,32.74910256,1,125,57,150,0,10,10,"[{'url': '/categories/132', 'name': 'Hospital'}]"
158,2009-02-24T16:25:56Z,-94.57990408,39.09710366,34,383,276,100,4,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
159,2009-02-24T16:30:25Z,-94.5626092,39.09113962,2,45,43,100,0,6,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]"
160,2009-02-24T18:52:09Z,-97.12589978,32.94137835,16,350,152,50,0,10,10,"[{'url': '/categories/18', 'name': 'Asian'}]"
161,2009-02-25T01:00:27Z,-97.16332197,31.52596592,3,90,56,75,0,9,10,"[{'url': '/categories/15', 'name': 'Mexican'}]"
162,2009-02-25T03:55:53Z,-97.73963212,30.26725887,143,4288,2045,100,26,11,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]"
163,2009-02-25T04:03:51Z,-97.7412656,30.2675138,92,3042,2069,50,6,10,10,"[{'url': '/categories/28', 'name': 'Dive Bar'}]"
164,2009-02-25T04:11:34Z,-97.74165988,30.2681578,212,4423,2739,100,22,12,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]"
165,2009-02-25T04:26:47Z,-97.74568588,30.26689064,214,4160,2050,100,21,11,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
166,2009-02-25T04:52:04Z,-97.74577439,30.26704121,4,532,389,75,0,10,10,"[{'url': '/categories/109', 'name': 'Tobacco & Cigars'}]"
167,2009-02-25T04:54:10Z,-97.7459085,30.26623967,328,5430,2801,75,38,10,10,"[{'url': '/categories/24', 'name': 'Pub'}]"
168,2009-02-25T05:00:17Z,-97.74279714,30.26636014,51,1297,762,100,3,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
169,2009-02-25T16:39:58Z,-97.73617744,30.26851918,460,5953,3781,75,98,13,10,"[{'url': '/categories/17', 'name': 'BBQ'}]"
170,2009-02-25T16:40:52Z,-97.73611307,30.26887893,13,633,509,75,2,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
171,2009-02-25T16:44:30Z,-97.73607015,30.26951193,115,2121,1517,75,3,10,10,"[{'url': '/categories/56', 'name': 'Other - Nightlife '}]"
172,2009-02-25T16:51:48Z,-97.74003982,30.27136802,14,316,213,100,4,10,10,"[{'url': '/categories/22', 'name': 'Historic Church'}]"
173,2009-02-25T16:52:48Z,-97.74001837,30.27130365,30,636,580,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
174,2009-02-25T17:00:48Z,-97.739439,30.27268767,47,1293,1085,75,1,14,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
175,2009-02-25T17:09:09Z,-97.74049044,30.27418994,354,3005,2014,150,19,11,10,"[{'url': '/categories/156', 'name': 'Capitol'}]"
176,2009-02-25T17:14:31Z,-97.7404958,30.27383321,78,1249,1106,100,1,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
177,2009-02-25T17:14:39Z,-97.7408123,30.2739166,84,1193,1075,75,0,11,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
178,2009-02-25T17:18:53Z,-97.74104297,30.27317997,63,1215,1076,75,0,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
179,2009-02-25T17:19:34Z,-97.74078816,30.27310816,80,1234,1099,75,4,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]"
180,2009-02-25T17:39:31Z,-97.74525403,30.2722156,11,609,558,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
181,2009-02-25T17:44:02Z,-97.74625182,30.27198932,20,528,506,75,1,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
182,2009-02-25T18:10:20Z,-97.75332212,30.27182937,15,902,547,75,1,10,10,"[{'url': '/categories/435', 'name': 'REI'}]"
183,2009-02-25T18:14:34Z,-97.753703,30.27073378,470,14967,3498,100,46,10,10,"[{'url': '/categories/422', 'name': 'Whole Foods'}]"
184,2009-02-25T19:06:22Z,-97.75429845,30.27126194,4,471,327,75,0,10,10,"[{'url': '/categories/35', 'name': 'Apparel'}]"
185,2009-02-25T19:20:37Z,-97.7473998,30.26632547,12,551,396,75,0,10,10,"[{'url': '/categories/61', 'name': 'Sports & Outdoors'}]"
186,2009-02-25T20:48:10Z,-97.74159551,30.26573928,16,656,600,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
187,2009-02-25T20:54:27Z,-97.74473905,30.2666366,9,734,648,75,0,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]"
188,2009-02-25T23:03:57Z,-97.73956776,30.26360797,555,17323,6511,500,15,12,10,"[{'url': '/categories/243', 'name': 'Convention Center'}]"
189,2009-02-25T23:07:47Z,-97.73854852,30.26529449,149,6855,3445,75,7,10,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]"
